subject_id,has_dti,has_rest,n_task_types,has_motor,has_wm,has_gambling,has_language,has_social,has_relational,has_emotion,has_movie,has_retbar,has_retccw,has_retcw,has_retcon,has_retexp
143426,True,True,6,True,True,True,True,True,False,True,False,False,False,False,False,False
143527,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
143830,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
144125,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
144226,True,True,12,True,True,True,True,True,True,False,True,True,True,True,True,True
144428,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
144731,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
144832,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
144933,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
145127,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
145531,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
145632,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
145834,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
146129,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
146331,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
146432,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
146533,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
146634,True,True,4,False,False,False,True,True,True,True,False,False,False,False,False,False
146735,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
146836,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
146937,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
147030,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
147636,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
147737,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
148032,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
148133,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
148335,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
148436,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
148840,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
148941,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
149236,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
149337,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
149539,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
149741,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
149842,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
150019,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
150423,False,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
150524,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
150625,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
150726,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
150928,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151021,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151223,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151324,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151425,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151526,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151627,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151728,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151829,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
151930,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
152225,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
152427,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
152831,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
153025,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
153126,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
153227,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
153429,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
153631,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
153732,True,True,5,True,True,True,True,True,False,False,False,False,False,False,False,False
153833,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
153934,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
154229,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
154330,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
154431,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
154532,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
154734,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
154835,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
154936,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
155231,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
155635,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
155938,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
156031,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
156233,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
156334,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
156435,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
156536,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
156637,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
157336,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
157437,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
157942,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
158035,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
158136,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
158338,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
158540,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
158843,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
159138,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
159239,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
159340,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
159441,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
159744,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
159845,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
159946,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
160123,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
160729,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
160830,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
160931,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
161327,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
161630,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
161731,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
161832,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
162026,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
162228,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
162329,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
162733,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
162935,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
163129,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
163331,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
163432,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
163836,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
164030,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
164131,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
164636,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
164939,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
165032,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
165234,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
165436,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
165638,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
165840,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
165941,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
166438,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
166640,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
167036,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
167238,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
167440,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
167743,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
168038,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
168139,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
168240,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
168341,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
168745,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
168947,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
169040,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
169141,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
169343,True,True,12,True,True,True,True,True,False,True,True,True,True,True,True,True
169444,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
169545,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
169747,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
169949,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
170631,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
170934,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
171128,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
171330,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
171431,True,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
171532,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
171633,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
171734,False,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
172029,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
172130,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
172332,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
172433,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
172534,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
172635,True,True,6,True,True,True,True,True,True,False,False,False,False,False,False,False
172938,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
173132,True,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
173233,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
173334,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
173435,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
173536,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
173637,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
173738,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
173839,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
173940,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
174437,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
174841,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
175035,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
175136,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
175237,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
175338,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
175439,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
175540,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
